parcel_id,customer_name,address_id,time_in,time_out,parcel_type,rider_id,status
1,Chong Wei Lim,1,2026-05-15 08:30:00,2026-05-15 11:45:00,fast,3,delivered
2,Siti Nurhaliza,2,2026-05-15 09:15:00,,normal,4,out_to_delivery
3,Rajesh Kumar,3,2026-05-15 10:00:00,2026-05-15 14:20:00,normal,5,delivered
4,Ahmad Faizal,4,2026-05-16 08:45:00,,fast,6,out_to_delivery
5,Lee Mei Ling,5,2026-05-16 09:30:00,2026-05-16 12:10:00,normal,3,delivered
6,Muhammad Danish,1,2026-05-16 11:20:00,,normal,7,pending
7,Prema A/P Raman,6,2026-05-17 08:10:00,2026-05-17 10:55:00,fast,4,delivered
8,Nur Aina,7,2026-05-17 09:00:00,,normal,8,out_to_delivery
9,James Tan,8,2026-05-17 10:30:00,2026-05-17 13:40:00,normal,5,delivered
10,Fatimah Abdullah,9,2026-05-17 14:00:00,,fast,6,out_to_delivery
